"","X","run","blast_duration","blast_count","row","column","id","Colour","Weight","weights","proportion"
"145",49,2,0.1,3,2,1,0.132,"yellow",45.34,201.71,0.22477814684448
"146",49,2,0.1,3,2,1,0.132,"blue",64.91,201.03,0.322887131273939
"147",49,2,0.1,3,2,1,0.132,"red",1.91,210.22,0.0090857197221958
"148",50,2,0.1,3,2,2,0.132,"yellow",10.2,201.71,0.0505676466213871
"149",50,2,0.1,3,2,2,0.132,"blue",35.42,201.03,0.176192608068447
"150",50,2,0.1,3,2,2,0.132,"red",17.01,210.22,0.0809152316620683
"151",51,2,0.1,3,2,3,0.132,"yellow",15.56,201.71,0.0771404491596847
"152",51,2,0.1,3,2,3,0.132,"blue",43.88,201.03,0.218275879222007
"153",51,2,0.1,3,2,3,0.132,"red",0.81,210.22,0.0038531062696223
"154",52,2,0.1,3,3,1,0.132,"yellow",1.12,201.71,0.00555252590352486
"155",52,2,0.1,3,3,1,0.132,"blue",6.7,201.03,0.0333283589514003
"156",52,2,0.1,3,3,1,0.132,"red",75.82,210.22,0.360669774521929
"157",53,2,0.1,3,3,2,0.132,"yellow",0.5,201.71,0.00247880620693074
"158",53,2,0.1,3,3,2,0.132,"blue",2.96,201.03,0.0147241705218127
"159",53,2,0.1,3,3,2,0.132,"red",70.05,210.22,0.333222338502521
"160",54,2,0.1,3,3,3,0.132,"yellow",0.4,201.71,0.00198304496554459
"161",54,2,0.1,3,3,3,0.132,"blue",12.49,201.03,0.0621300303437298
"162",54,2,0.1,3,3,3,0.132,"red",33.13,210.22,0.157596803348873
"163",55,1,1,1,1,1,111,"yellow",65.96,201.43,0.327458670505883
"164",55,1,1,1,1,1,111,"blue",8.4,199.291,0.042149419692811
"165",55,1,1,1,1,1,111,"red",4.62,210.12,0.0219874357509994
"166",56,1,1,1,1,2,111,"yellow",68.6,201.43,0.340564960532195
"167",56,1,1,1,1,2,111,"blue",11.03,199.291,0.0553462022871078
"168",56,1,1,1,1,2,111,"red",2.41,210.12,0.0114696363982486
"169",57,1,1,1,1,3,111,"yellow",40.59,201.43,0.201509209154545
"170",57,1,1,1,1,3,111,"blue",12.07,199.291,0.0605647018681225
"171",57,1,1,1,1,3,111,"red",3.42,210.12,0.0162764134780126
"172",58,1,1,1,2,1,111,"yellow",15.8,201.43,0.0784391600059574
"173",58,1,1,1,2,1,111,"blue",72.5,199.291,0.363789634253428
"174",58,1,1,1,2,1,111,"red",0.03,210.12,0.000142775556824672
"175",59,1,1,1,2,2,111,"yellow",3.8,201.43,0.0188651144318125
"176",59,1,1,1,2,2,111,"blue",30.59,199.291,0.153494136714653
"177",59,1,1,1,2,2,111,"red",0.2,210.12,0.000951837045497811
"178",60,1,1,1,2,3,111,"yellow",5.28,201.43,0.0262125800526237
"179",60,1,1,1,2,3,111,"blue",61.3,199.291,0.307590407996347
"180",60,1,1,1,2,3,111,"red",0.14,210.12,0.000666285931848468
"181",61,1,1,1,3,1,111,"yellow",0.63,201.43,0.0031276373926426
"182",61,1,1,1,3,1,111,"blue",0.34,199.291,0.00170604793994711
"183",61,1,1,1,3,1,111,"red",83.15,210.12,0.395726251665715
"184",62,1,1,1,3,2,111,"yellow",0.33,201.43,0.00163828625328898
"185",62,1,1,1,3,2,111,"blue",2.9,199.291,0.0145515853701371
"186",62,1,1,1,3,2,111,"red",48.75,210.12,0.232010279840091
"187",63,1,1,1,3,3,111,"yellow",0.44,201.43,0.00218438167105198
"188",63,1,1,1,3,3,111,"blue",0.161,199.291,0.000807863877445545
"189",63,1,1,1,3,3,111,"red",67.4,210.12,0.320769084332762
"190",64,2,1,1,1,1,112,"yellow",52.84,201.45,0.262298337056342
"191",64,2,1,1,1,1,112,"blue",4.44,200.7,0.0221225710014948
"192",64,2,1,1,1,1,112,"red",4.36,209.71,0.0207906156120357
"193",65,2,1,1,1,2,112,"yellow",20.57,201.45,0.10210970464135
"194",65,2,1,1,1,2,112,"blue",16.78,200.7,0.0836073741903338
"195",65,2,1,1,1,2,112,"red",2.47,209.71,0.0117781698536074
"196",66,2,1,1,1,3,112,"yellow",58.08,201.45,0.288309754281459
"197",66,2,1,1,1,3,112,"blue",9.42,200.7,0.0469357249626308
"198",66,2,1,1,1,3,112,"red",3.27,209.71,0.0155929617090268
"199",67,2,1,1,2,1,112,"yellow",12.69,201.45,0.0629932985852569
"200",67,2,1,1,2,1,112,"blue",62.48,200.7,0.311310413552566
"201",67,2,1,1,2,1,112,"red",0.03,209.71,0.000143054694578227
"202",68,2,1,1,2,2,112,"yellow",39.5,201.45,0.196078431372549
"203",68,2,1,1,2,2,112,"blue",36.07,200.7,0.179720976581963
"204",68,2,1,1,2,2,112,"red",0.42,209.71,0.00200276572409518
"205",69,2,1,1,2,3,112,"yellow",16.59,201.45,0.0823529411764706
"206",69,2,1,1,2,3,112,"blue",63.87,200.7,0.318236173393124
"207",69,2,1,1,2,3,112,"red",0.31,209.71,0.00147823184397501
"208",70,2,1,1,3,1,112,"yellow",0.47,201.45,0.00233308513278729
"209",70,2,1,1,3,1,112,"blue",1.49,200.7,0.00742401594419532
"210",70,2,1,1,3,1,112,"red",83.21,209.71,0.396786037861809
"211",71,2,1,1,3,2,112,"yellow",0.51,201.45,0.00253164556962025
"212",71,2,1,1,3,2,112,"blue",4.88,200.7,0.0243148978574988
"213",71,2,1,1,3,2,112,"red",47.64,209.71,0.227170854990225
"214",72,2,1,1,3,3,112,"yellow",0.2,201.45,0.000992802184164805
"215",72,2,1,1,3,3,112,"blue",1.27,200.7,0.00632785251619332
"216",72,2,1,1,3,3,112,"red",68,209.71,0.324257307710648
